Date,Employee Name,Sign In,Sign Out,Break Start,Break End,Total Work Hours
11/3/2025,Alice John,8:00,17:00,12:00,13:00,8
11/3/2025,Bob Smith,8:30,17:30,12:30,13:30,8
11/3/2025,Carol Davis,9:00,18:00,13:00,14:00,8
11/3/2025,Diana Prince,7:45,16:45,11:45,12:45,8
11/3/2025,Eve Harlow,9:15,18:15,13:00,14:00,8
11/3/2025,Frank Jones,8:15,17:15,12:00,13:00,8
11/3/2025,Grace Kelly,7:30,16:30,11:30,12:30,8
11/3/2025,Henry Ford,8:00,17:00,12:00,13:00,8
11/3/2025,Ivy Lynn,9:30,18:30,13:30,14:30,8
11/3/2025,Jack Ryan,8:45,17:45,12:45,13:45,8
